label,x,y,z
21,0.5779934415877959,0.16461111792292307,1.0
21,0.8781269059936999,0.2510450084340192,0.8449884699240198
21,1.0,0.42495419634473547,0.668235797442693
21,0.9223179753593135,0.7544021290416143,0.4943268927782219
21,0.7110502787683962,1.0,0.31759599806157424
21,0.880523524895417,0.05746241827292928,0.5860613324971703
21,0.7188593816149194,0.4742467087476578,0.2908455863428476
21,0.685173252584976,0.7690023142731008,0.08213984320398766
21,0.6759735367350014,0.9978627628688023,0.0
21,0.5919612809712764,0.0,0.5899406641734843
21,0.4392643671562753,0.4359025745127749,0.49739894936018375
21,0.4120892919928532,0.37973030987057166,0.49446898507119863
21,0.37095929335619926,0.2787170430575168,0.47199332455155474
21,0.31687176653774674,0.0050978675969432004,0.5822378833868256
21,0.19431269418712283,0.3973842855446129,0.5684617174656575
21,0.192309292997424,0.33519663958197743,0.7012859876134702
21,0.20861060683251653,0.23215242124700552,0.7902753685925963
21,0.08150441652375451,0.03935608848469055,0.5382337824446183
21,0.0,0.3442635703833229,0.5494297007799633
21,0.05611891248035705,0.3202507059829514,0.6666245079539954
21,0.10387620817577119,0.24736118763283702,0.7661547511939414
