label,x,y,z
12,0.40022180814174874,1.0,1.0
12,0.6802227347553957,0.9855690401969703,0.6470121892833984
12,0.9276218219444312,0.8933997259553731,0.4455425749941841
12,0.8603549798968274,0.7995729698711136,0.24942488534460025
12,0.641759581402285,0.7510273706373466,0.0635082923995209
12,0.8594336749738546,0.5542840391258345,0.6469539447678084
12,0.9470266560685231,0.33850401186379425,0.38739466248325755
12,0.9783568147848929,0.19717326943310504,0.2289009958595948
12,1.0,0.07110472979187919,0.146272236530366
12,0.6110727435147904,0.5321904521142917,0.6135149228426943
12,0.653663671098486,0.30714198395729225,0.30225967809750487
12,0.6973959743463151,0.14908282877195606,0.0966335278858137
12,0.7371365997429612,0.0,0.0
12,0.3806509557392374,0.56306794680757,0.5446498954859506
12,0.3953290950411209,0.47109802406584195,0.11863611891689199
12,0.4372501581758452,0.6435850235620223,0.025767829933322807
12,0.46238214029413227,0.7598228501471996,0.0973554722518922
12,0.1698497293274667,0.6315903786480188,0.44854456030813944
12,0.0863048916030947,0.49939292409414837,0.18590900553691822
12,0.039581846287343854,0.4156254988496416,0.15322031876985806
12,0.0,0.31266619667241696,0.18506422450407392
